experiment_name,task_mode,method,input_mode,split,folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,folded_2class_macro_f1_mean,folded_2class_macro_f1_std,run_root
qwen_vis_rgb_dual_baseline_2class,2class,baseline,rgb_dual,val,3,0.5656819026384244,0.07882109953057526,0.5472582972582972,0.05160369672567432,0.4306952645625414,0.09948870991886846,0.4452173557436715,0.11027356281813713,0.0,0.0,/home/gjw/code/Qwen-SLM/runs/qwen_vis_fusion/official_cv_2class_rgb_dual_baseline
qwen_vis_rgb_dual_baseline_2class,2class,baseline,rgb_dual,test,3,0.6676229263635278,0.0198664557124354,0.5380952380952381,0.02935435239509035,0.4649784758878696,0.05604096810760682,0.5573865757339933,0.04150466567817862,0.0,0.0,/home/gjw/code/Qwen-SLM/runs/qwen_vis_fusion/official_cv_2class_rgb_dual_baseline
qwen_vis_rgb_dual_causal_2class,2class,causal,rgb_dual,val,3,0.6223522853957637,0.17041745285401805,0.6123809523809524,0.15893066700954783,0.5045871743240165,0.2398889704779716,0.5129792126359631,0.24389978108509816,0.0,0.0,/home/gjw/code/Qwen-SLM/runs/qwen_vis_fusion/official_cv_2class_rgb_dual_causal
qwen_vis_rgb_dual_causal_2class,2class,causal,rgb_dual,test,3,0.6570966105740542,0.026651142125593177,0.5428571428571428,0.06060915267313264,0.4707284985518674,0.11454009422820519,0.5571134231998979,0.08404368374324553,0.0,0.0,/home/gjw/code/Qwen-SLM/runs/qwen_vis_fusion/official_cv_2class_rgb_dual_causal
qwen_vis_rgb_dual_baseline_3class,3class,baseline,rgb_dual,val,3,0.8261241174284653,0.08021026555420331,0.8628282828282828,0.02651163997911496,0.8357728471505561,0.06344388721900306,0.81981439351543,0.08151642458044941,0.8143303724448159,0.08600567945991588,/home/gjw/code/Qwen-SLM/runs/qwen_vis_fusion/official_cv_3class_rgb_dual_baseline
qwen_vis_rgb_dual_baseline_3class,3class,baseline,rgb_dual,test,3,0.8382802243704499,0.08235317880707738,0.842162182475539,0.08662005697402293,0.8402438033684655,0.08557622118953326,0.8356669459542069,0.0833698089691382,0.8240967009035608,0.0807573388942941,/home/gjw/code/Qwen-SLM/runs/qwen_vis_fusion/official_cv_3class_rgb_dual_baseline
qwen_vis_rgb_dual_causal_3class,3class,causal,rgb_dual,val,3,0.8175771088814567,0.08939034292206399,0.8577777777777778,0.02997941680718232,0.8256965944272445,0.07518849485871158,0.8093610668856327,0.09255134539960522,0.8049324718704447,0.09478282264886986,/home/gjw/code/Qwen-SLM/runs/qwen_vis_fusion/official_cv_3class_rgb_dual_causal
qwen_vis_rgb_dual_causal_3class,3class,causal,rgb_dual,test,3,0.8521370390261368,0.07583055078453468,0.8555864769245013,0.07943369561606856,0.8547265224394173,0.07797558739555409,0.8505698399064421,0.07606211061807858,0.8392123472398184,0.07537369993608506,/home/gjw/code/Qwen-SLM/runs/qwen_vis_fusion/official_cv_3class_rgb_dual_causal
